feature_idx,variable,mean,std
67,600pv,-0.0002034011859030478,0.8887633750797937
68,600q,-0.0007717096791093488,0.37909295308141217
69,600t,-0.000815459054081006,0.14059282069884427
70,600u,0.00015232049824223713,0.3060790096183842
71,600v,-0.00011566186894288844,0.5619402153872894
72,600w,0.0001959977192612598,1.2382608180589734
73,600z,-0.00029877013401351547,0.15564717397135958
74,700cc,-2.3486122256886108e-05,0.9755362179883712
75,700pv,0.00048067540350614057,0.9519948595884402
76,700q,-0.0007425847083614523,0.36368983392527965
77,700t,-0.0008789796529633274,0.13741423728452132
78,700u,-5.2995397877520004e-05,0.3420544841340921
79,700v,-0.00016069297099806013,0.5524860131569183
80,700w,0.00019222412833608523,1.2275653313846064
81,700z,-6.42379531016699e-06,0.2151957694395715
82,850cc,0.0005287266514857167,0.9639749828155904
83,850pv,0.001995717915285659,1.0457019516081745
84,850q,-0.0008101853996645385,0.30454879066377377
85,850t,-0.0013056808617065477,0.17102196458793853
86,850u,-0.0004924566625387292,0.39888593977846654
87,850v,-0.00032089990126850723,0.5575862780076699
88,850w,0.00030370371225801955,1.1463665255558342
89,850z,0.0010835256975572304,0.346857313829766
90,925cc,0.0006526609442785884,1.0620316275968573
91,925pv,0.0035358826509099754,1.0948327781111253
92,925q,-0.000877269859315018,0.2354319812579455
93,925t,-0.0016798750384567115,0.20204711377654647
94,925u,-0.0006899991177670183,0.41930148371393194
95,925v,-0.00041400717731109846,0.5320311761320016
96,925w,0.0007057961060088035,1.090199871125031
97,925z,0.0016993982807235921,0.35245672120888727
98,blh,-0.006337747732863986,1.1287297217475163
99,d2m,-0.0007422905722705194,0.13527766656015397
100,flsr,-2.1782406997546805e-05,0.10521759340495947
101,msl,0.001904119241397111,0.28547184937229675
102,sst,-0.00022113256190547129,0.016092378241514847
103,swh,0.0004438391495146924,0.200963526388933
104,t2m,-0.0028471846738762417,0.29275976407658855
105,u10,-0.0008324828293671743,0.4450486471818897
106,v10,-0.0004798455368279823,0.5171315036192019
107,ewss,-0.0008541973454509428,0.6751227086466266
108,lgws,0.00035621975895646914,0.6731070702717116
109,mgws,7.266487770369132e-05,0.7399550496808266
110,nsss,-0.0003412319989189021,0.7199259230726729
111,slhf,0.004677705561122905,0.9500454462877269
112,sshf,0.007435356989751251,1.2680629206723961
113,ssr,-0.016200963763186287,1.4319137931401211
114,str,0.0038794851406109285,0.801384480786404
115,tp,-0.0002583046437870495,1.116800896574663
